Codigo;provincia;es-ES;us-EN;gl-ES
489;5;Hoyos del Espino;Hoyos del Espino;Hoyos del Espino
490;5;Hurtumpascual;Hurtumpascual;Hurtumpascual
491;5;Junciana;Junciana;Junciana
492;5;Langa;Langa;Langa
493;5;Lanzahíta;Lanzahíta;Lanzahíta
494;5;Llanos de Tormes;Llanos de Tormes;Llanos de Tormes
495;5;Losar del Barco;Losar del Barco;Losar del Barco
496;5;Madrigal de las Altas Torres;Madrigal de las Altas Torres;Madrigal de las Altas Torres
497;5;Maello;Maello;Maello
498;5;Malpartida de Corneja;Malpartida de Corneja;Malpartida de Corneja
499;5;Mamblas;Mamblas;Mamblas
500;5;Mancera de Arriba;Mancera de Arriba;Mancera de Arriba
501;5;Manjabálago;Manjabálago;Manjabálago
502;5;Marlín;Marlín;Marlín
503;5;Martiherrero;Martiherrero;Martiherrero
504;5;Martínez;Martínez;Martínez
505;5;Mediana de Voltoya;Mediana de Voltoya;Mediana de Voltoya
506;5;Medinilla;Medinilla;Medinilla
507;5;Mengamuñoz;Mengamuñoz;Mengamuñoz
508;5;Mesegar de Corneja;Mesegar de Corneja;Mesegar de Corneja
509;5;Mijares;Mijares;Mijares
510;5;Mingorría;Mingorría;Mingorría
511;5;Mirón;Mirón;Mirón
512;5;Mironcillo;Mironcillo;Mironcillo
513;5;Mirueña de los Infanzones;Mirueña de los Infanzones;Mirueña de los Infanzones
514;5;Mombeltrán;Mombeltrán;Mombeltrán
515;5;Monsalupe;Monsalupe;Monsalupe
516;5;Moraleja de Matacabras;Moraleja de Matacabras;Moraleja de Matacabras
517;5;Muñana;Muñana;Muñana
518;5;Muñico;Muñico;Muñico
519;5;Muñogalindo;Muñogalindo;Muñogalindo
520;5;Muñogrande;Muñogrande;Muñogrande
521;5;Muñomer del Peco;Muñomer del Peco;Muñomer del Peco
522;5;Muñopepe;Muñopepe;Muñopepe
523;5;Muñosancho;Muñosancho;Muñosancho
524;5;Muñotello;Muñotello;Muñotello
525;5;Narrillos del Álamo;Narrillos del Álamo;Narrillos del Álamo
526;5;Narrillos del Rebollar;Narrillos del Rebollar;Narrillos del Rebollar
527;5;Narros de Saldueña;Narros de Saldueña;Narros de Saldueña
528;5;Narros del Castillo;Narros del Castillo;Narros del Castillo
529;5;Narros del Puerto;Narros del Puerto;Narros del Puerto
530;5;Nava de Arévalo;Nava de Arévalo;Nava de Arévalo
531;5;Nava del Barco;Nava del Barco;Nava del Barco
532;5;Navacepedilla de Corneja;Navacepedilla de Corneja;Navacepedilla de Corneja
533;5;Navadijos;Navadijos;Navadijos
534;5;Navaescurial;Navaescurial;Navaescurial
535;5;Navahondilla;Navahondilla;Navahondilla
536;5;Navalacruz;Navalacruz;Navalacruz
537;5;Navalmoral;Navalmoral;Navalmoral
538;5;Navalonguilla;Navalonguilla;Navalonguilla
539;5;Navalosa;Navalosa;Navalosa
540;5;Navalperal de Pinares;Navalperal de Pinares;Navalperal de Pinares
541;5;Navalperal de Tormes;Navalperal de Tormes;Navalperal de Tormes
542;5;Navaluenga;Navaluenga;Navaluenga
543;5;Navaquesera;Navaquesera;Navaquesera
544;5;Navarredonda de Gredos;Navarredonda de Gredos;Navarredonda de Gredos
545;5;Navarredondilla;Navarredondilla;Navarredondilla
546;5;Navarrevisca;Navarrevisca;Navarrevisca
547;5;Navas del Marqués;Navas del Marqués;Navas del Marqués
548;5;Navatalgordo;Navatalgordo;Navatalgordo
549;5;Navatejares;Navatejares;Navatejares
550;5;Neila de San Miguel;Neila de San Miguel;Neila de San Miguel
551;5;Niharra;Niharra;Niharra
552;5;Ojos-Albos;Ojos-Albos;Ojos-Albos
553;5;Orbita;Orbita;Orbita
554;5;Oso;Oso;Oso
555;5;Padiernos;Padiernos;Padiernos
556;5;Pajares de Adaja;Pajares de Adaja;Pajares de Adaja
557;5;Palacios de Goda;Palacios de Goda;Palacios de Goda
558;5;Papatrigo;Papatrigo;Papatrigo
559;5;Parral;Parral;Parral
560;5;Pascualcobo;Pascualcobo;Pascualcobo
561;5;Pedro Bernardo;Pedro Bernardo;Pedro Bernardo
562;5;Pedro-Rodríguez;Pedro-Rodríguez;Pedro-Rodríguez
563;5;Peguerinos;Peguerinos;Peguerinos
564;5;Peñalba de Ávila;Peñalba de Ávila;Peñalba de Ávila
565;5;Piedrahíta;Piedrahíta;Piedrahíta
566;5;Piedralaves;Piedralaves;Piedralaves
567;5;Poveda;Poveda;Poveda
568;5;Poyales del Hoyo;Poyales del Hoyo;Poyales del Hoyo
569;5;Pozanco;Pozanco;Pozanco
570;5;Pradosegar;Pradosegar;Pradosegar
571;5;Puerto Castilla;Puerto Castilla;Puerto Castilla
