es-ES;en-US;gl-ES
MAPN0612 - MANTENIMIENTO DE LOS EQUIPOS DE UN PARQUE DE PESCA Y DE LA INSTALACIÓN FRIGORÍFICA;MAPN0612 - MANTENIMIENTO DE LOS EQUIPOS DE UN PARQUE DE PESCA Y DE LA INSTALACIÓN FRIGORÍFICA;MAPN0612 - MANTENIMIENTO DE LOS EQUIPOS DE UN PARQUE DE PESCA Y DE LA INSTALACIÓN FRIGORÍFICA
MAPN0712 - OPERACIONES PORTUARIAS DE CARGA, ESTIBA, DESCARGA, DESESTIBA Y TRANSBORDO;MAPN0712 - OPERACIONES PORTUARIAS DE CARGA, ESTIBA, DESCARGA, DESESTIBA Y TRANSBORDO;MAPN0712 - OPERACIONES PORTUARIAS DE CARGA, ESTIBA, DESCARGA, DESESTIBA Y TRANSBORDO
MAPU0108 - ENGORDE DE PECES, CRUSTÁCEOS Y CEFALÓPODOS;MAPU0108 - ENGORDE DE PECES, CRUSTÁCEOS Y CEFALÓPODOS;MAPU0108 - ENGORDE DE PECES, CRUSTÁCEOS Y CEFALÓPODOS
MAPU0109 - ENGORDE DE MOLUSCOS BIVALVOS;MAPU0109 - ENGORDE DE MOLUSCOS BIVALVOS;MAPU0109 - ENGORDE DE MOLUSCOS BIVALVOS
MAPU0110 - PRODUCCIÓN EN CRIADERO DE ACUICULTURA;MAPU0110 - PRODUCCIÓN EN CRIADERO DE ACUICULTURA;MAPU0110 - PRODUCCIÓN EN CRIADERO DE ACUICULTURA
MAPU0112 - MANTENIMIENTO DE INSTALACIONES EN ACUICULTURA;MAPU0112 - MANTENIMIENTO DE INSTALACIONES EN ACUICULTURA;MAPU0112 - MANTENIMIENTO DE INSTALACIONES EN ACUICULTURA
MAPU0409 - PRODUCCIÓN DE ALIMENTO VIVO;MAPU0409 - PRODUCCIÓN DE ALIMENTO VIVO;MAPU0409 - PRODUCCIÓN DE ALIMENTO VIVO
QUIE0108 - OPERACIONES BÁSICAS EN PLANTA QUÍMICA;QUIE0108 - OPERACIONES BÁSICAS EN PLANTA QUÍMICA;QUIE0108 - OPERACIONES BÁSICAS EN PLANTA QUÍMICA
QUIE0208 - OPERACIONES EN INSTALACIONES DE ENERGÍA Y DE SERVICIOS AUXILIARES;QUIE0208 - OPERACIONES EN INSTALACIONES DE ENERGÍA Y DE SERVICIOS AUXILIARES;QUIE0208 - OPERACIONES EN INSTALACIONES DE ENERGÍA Y DE SERVICIOS AUXILIARES
QUIE0408 - OPERACIONES DE MOVIMIENTOS Y ENTREGA DE PRODUCTOS EN LA INDUSTRIA QUÍMICA;QUIE0408 - OPERACIONES DE MOVIMIENTOS Y ENTREGA DE PRODUCTOS EN LA INDUSTRIA QUÍMICA;QUIE0408 - OPERACIONES DE MOVIMIENTOS Y ENTREGA DE PRODUCTOS EN LA INDUSTRIA QUÍMICA
QUIM0109 - ELABORACIÓN DE PRODUCTOS FARMACÉUTICOS Y AFINES;QUIM0109 - ELABORACIÓN DE PRODUCTOS FARMACÉUTICOS Y AFINES;QUIM0109 - ELABORACIÓN DE PRODUCTOS FARMACÉUTICOS Y AFINES
QUIM0309 - OPERACIONES DE ACONDICIONADO DE PRODUCTOS FARMACÉUTICOS Y AFINES;QUIM0309 - OPERACIONES DE ACONDICIONADO DE PRODUCTOS FARMACÉUTICOS Y AFINES;QUIM0309 - OPERACIONES DE ACONDICIONADO DE PRODUCTOS FARMACÉUTICOS Y AFINES
QUIO0109 - PREPARACIÓN DE PASTAS PAPELERAS;QUIO0109 - PREPARACIÓN DE PASTAS PAPELERAS;QUIO0109 - PREPARACIÓN DE PASTAS PAPELERAS
QUIO0110 - RECUPERACIÓN DE LEJÍAS NEGRAS Y ENERGÍA;QUIO0110 - RECUPERACIÓN DE LEJÍAS NEGRAS Y ENERGÍA;QUIO0110 - RECUPERACIÓN DE LEJÍAS NEGRAS Y ENERGÍA
QUIO0112 - FABRICACIÓN DE PASTAS QUÍMICAS Y/O SEMIQUÍMICAS;QUIO0112 - FABRICACIÓN DE PASTAS QUÍMICAS Y/O SEMIQUÍMICAS;QUIO0112 - FABRICACIÓN DE PASTAS QUÍMICAS Y/O SEMIQUÍMICAS
QUIT0109 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOESTABLES Y SUS COMPUESTOS;QUIT0109 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOESTABLES Y SUS COMPUESTOS;QUIT0109 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOESTABLES Y SUS COMPUESTOS
QUIT0209 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOPLÁSTICOS;QUIT0209 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOPLÁSTICOS;QUIT0209 - OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOPLÁSTICOS
QUIT0309 - OPERACIONES DE TRANSFORMACIÓN DE CAUCHO;QUIT0309 - OPERACIONES DE TRANSFORMACIÓN DE CAUCHO;QUIT0309 - OPERACIONES DE TRANSFORMACIÓN DE CAUCHO
SANT0108 - ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES;SANT0108 - ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES;SANT0108 - ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES
SANT0208 - TRANSPORTE SANITARIO;SANT0208 - TRANSPORTE SANITARIO;SANT0208 - TRANSPORTE SANITARIO
SEAD0111 - EXTINCIÓN DE INCENDIOS Y SALVAMENTO;SEAD0111 - EXTINCIÓN DE INCENDIOS Y SALVAMENTO;SEAD0111 - EXTINCIÓN DE INCENDIOS Y SALVAMENTO
SEAD0112 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE PERSONAS;SEAD0112 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE PERSONAS;SEAD0112 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE PERSONAS
SEAD0211 - PREVENCIÓN DE INCENDIOS Y MANTENIMIENTO;SEAD0211 - PREVENCIÓN DE INCENDIOS Y MANTENIMIENTO;SEAD0211 - PREVENCIÓN DE INCENDIOS Y MANTENIMIENTO
SEAD0212 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE EXPLOSIVOS;SEAD0212 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE EXPLOSIVOS;SEAD0212 - VIGILANCIA, SEGURIDAD PRIVADA Y PROTECCIÓN DE EXPLOSIVOS
SEAD0411 - OPERACIONES DE VIGILANCIA Y EXTINCIÓN DE INCENDIOS FORESTAL Y APOYO A CONTIN EN EL MED NAT Y RUR;SEAD0411 - OPERACIONES DE VIGILANCIA Y EXTINCIÓN DE INCENDIOS FORESTAL Y APOYO A CONTIN EN EL MED NAT Y RUR;SEAD0411 - OPERACIONES DE VIGILANCIA Y EXTINCIÓN DE INCENDIOS FORESTAL Y APOYO A CONTIN EN EL MED NAT Y RUR
SEAD0412 - ADIESTRAMIENTO DE BASE Y EDUCACIÓN CANINA;SEAD0412 - ADIESTRAMIENTO DE BASE Y EDUCACIÓN CANINA;SEAD0412 - ADIESTRAMIENTO DE BASE Y EDUCACIÓN CANINA
SEAG0108 - GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;SEAG0108 - GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;SEAG0108 - GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES
SEAG0110 - SERVICIOS PARA EL CONTROL DE PLAGAS;SEAG0110 - SERVICIOS PARA EL CONTROL DE PLAGAS;SEAG0110 - SERVICIOS PARA EL CONTROL DE PLAGAS
SEAG0210 - OPERACIÓN DE ESTACIONES DE TRATAMIENTO DE AGUAS;SEAG0210 - OPERACIÓN DE ESTACIONES DE TRATAMIENTO DE AGUAS;SEAG0210 - OPERACIÓN DE ESTACIONES DE TRATAMIENTO DE AGUAS
SEAG0212 - MANTENIMIENTO HIGIÉNICO-SANITARIO DE INSTALA SUSCEPT DE PROLIF DE MICRO NOCI Y SU DISEM P AEROSO;SEAG0212 - MANTENIMIENTO HIGIÉNICO-SANITARIO DE INSTALA SUSCEPT DE PROLIF DE MICRO NOCI Y SU DISEM P AEROSO;SEAG0212 - MANTENIMIENTO HIGIÉNICO-SANITARIO DE INSTALA SUSCEPT DE PROLIF DE MICRO NOCI Y SU DISEM P AEROSO
SSCB0209 - DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;SSCB0209 - DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;SSCB0209 - DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL
SSCG0111 - GESTIÓN DE LLAMADAS DE TELEASISTENCIA;SSCG0111 - GESTIÓN DE LLAMADAS DE TELEASISTENCIA;SSCG0111 - GESTIÓN DE LLAMADAS DE TELEASISTENCIA
SSCI0312 - ATENCIÓN AL CLIENTE Y ORGANIZACIÓN DE ACTOS DE PROTOCOLO EN SERVICIOS FUNERARIOS;SSCI0312 - ATENCIÓN AL CLIENTE Y ORGANIZACIÓN DE ACTOS DE PROTOCOLO EN SERVICIOS FUNERARIOS;SSCI0312 - ATENCIÓN AL CLIENTE Y ORGANIZACIÓN DE ACTOS DE PROTOCOLO EN SERVICIOS FUNERARIOS
SSCI0412 - OPERACIONES EN SERVICIOS FUNERARIOS;SSCI0412 - OPERACIONES EN SERVICIOS FUNERARIOS;SSCI0412 - OPERACIONES EN SERVICIOS FUNERARIOS
SSCS0108 - ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO;SSCS0108 - ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO;SSCS0108 - ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO
SSCS0208 - ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;SSCS0208 - ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;SSCS0208 - ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES
TCPC0212 - FABRICACIÓN DE CALZADO A MEDIDA Y ORTOPÉDICO;TCPC0212 - FABRICACIÓN DE CALZADO A MEDIDA Y ORTOPÉDICO;TCPC0212 - FABRICACIÓN DE CALZADO A MEDIDA Y ORTOPÉDICO
TCPF0112 - CORTE, MONTADO Y ACABADO EN PELETERÍA;TCPF0112 - CORTE, MONTADO Y ACABADO EN PELETERÍA;TCPF0112 - CORTE, MONTADO Y ACABADO EN PELETERÍA
TCPF0212 - CONFECCIÓN DE VESTUARIO A MEDIDA EN TEXTIL Y PIEL;TCPF0212 - CONFECCIÓN DE VESTUARIO A MEDIDA EN TEXTIL Y PIEL;TCPF0212 - CONFECCIÓN DE VESTUARIO A MEDIDA EN TEXTIL Y PIEL
TCPF0512 - CORTE DE MATERIALES;TCPF0512 - CORTE DE MATERIALES;TCPF0512 - CORTE DE MATERIALES
TCPF0612 - ENSAMBLAJE DE MATERIALES;TCPF0612 - ENSAMBLAJE DE MATERIALES;TCPF0612 - ENSAMBLAJE DE MATERIALES
TCPN0112 - BLANQUEO Y TINTURA DE MATERIAS TEXTILES;TCPN0112 - BLANQUEO Y TINTURA DE MATERIAS TEXTILES;TCPN0112 - BLANQUEO Y TINTURA DE MATERIAS TEXTILES
TCPN0212 - APRESTOS Y ACABADOS DE MATERIAS Y ARTÍCULOS TEXTILES;TCPN0212 - APRESTOS Y ACABADOS DE MATERIAS Y ARTÍCULOS TEXTILES;TCPN0212 - APRESTOS Y ACABADOS DE MATERIAS Y ARTÍCULOS TEXTILES
TCPN0512 - ACABADO DE PIELES;TCPN0512 - ACABADO DE PIELES;TCPN0512 - ACABADO DE PIELES
TCPN0612 - TINTURA Y ENGRASE DE PIELES;TCPN0612 - TINTURA Y ENGRASE DE PIELES;TCPN0612 - TINTURA Y ENGRASE DE PIELES
TCPP0212 - TEJEDURÍA DE PUNTO POR URDIMBRE;TCPP0212 - TEJEDURÍA DE PUNTO POR URDIMBRE;TCPP0212 - TEJEDURÍA DE PUNTO POR URDIMBRE
TCPP0312 - HILATURA Y TELAS NO TEJIDAS;TCPP0312 - HILATURA Y TELAS NO TEJIDAS;TCPP0312 - HILATURA Y TELAS NO TEJIDAS
TCPP0612 - TEJEDURÍA DE CALADA;TCPP0612 - TEJEDURÍA DE CALADA;TCPP0612 - TEJEDURÍA DE CALADA
TCPP0712 - TEJEDURÍA DE PUNTO POR TRAMA O RECOGIDA;TCPP0712 - TEJEDURÍA DE PUNTO POR TRAMA O RECOGIDA;TCPP0712 - TEJEDURÍA DE PUNTO POR TRAMA O RECOGIDA
TMVB0111 - MANTENIMIENTO DE LOS SISTEMAS MECÁNICOS DE MATERIAL RODANTE FERROVIARIO;TMVB0111 - MANTENIMIENTO DE LOS SISTEMAS MECÁNICOS DE MATERIAL RODANTE FERROVIARIO;TMVB0111 - MANTENIMIENTO DE LOS SISTEMAS MECÁNICOS DE MATERIAL RODANTE FERROVIARIO
TMVB0211 - MANTENIMIENTO DE SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE MATERIAL RODANTE FERROVIARIO;TMVB0211 - MANTENIMIENTO DE SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE MATERIAL RODANTE FERROVIARIO;TMVB0211 - MANTENIMIENTO DE SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE MATERIAL RODANTE FERROVIARIO
TMVG0209 - MANTENIMIENTO DE LOS SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS;TMVG0209 - MANTENIMIENTO DE LOS SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS;TMVG0209 - MANTENIMIENTO DE LOS SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS
TMVG0210 - MANTENIMIENTO DE SIST D RODAJE Y TRANSMISIÓN DE MAQUINARIA AGRÍCOLA, INDUS EXTR Y EOC,EQUIP_Y AP;TMVG0210 - MANTENIMIENTO DE SIST D RODAJE Y TRANSMISIÓN DE MAQUINARIA AGRÍCOLA, INDUS EXTR Y EOC,EQUIP_Y AP;TMVG0210 - MANTENIMIENTO DE SIST D RODAJE Y TRANSMISIÓN DE MAQUINARIA AGRÍCOLA, INDUS EXTR Y EOC,EQUIP_Y AP
TMVG0309 - MANTENIMIENTO DE SISTEMAS DE TRANSMISIÓN DE FUERZA Y TRENES DE RODAJE DE VEHÍCULOS AUTOMÓVILES;TMVG0309 - MANTENIMIENTO DE SISTEMAS DE TRANSMISIÓN DE FUERZA Y TRENES DE RODAJE DE VEHÍCULOS AUTOMÓVILES;TMVG0309 - MANTENIMIENTO DE SISTEMAS DE TRANSMISIÓN DE FUERZA Y TRENES DE RODAJE DE VEHÍCULOS AUTOMÓVILES
TMVG0310 - MANTENIMIENTO DEL MOTOR Y DE LOS SIST ELECTRICOS D SEGURID Y CONFORT D MAQU AGR,I EXTRACT Y EOC;TMVG0310 - MANTENIMIENTO DEL MOTOR Y DE LOS SIST ELECTRICOS D SEGURID Y CONFORT D MAQU AGR,I EXTRACT Y EOC;TMVG0310 - MANTENIMIENTO DEL MOTOR Y DE LOS SIST ELECTRICOS D SEGURID Y CONFORT D MAQU AGR,I EXTRACT Y EOC
TMVG0409 - MANTENIMIENTO DEL MOTOR Y SUS SISTEMAS AUXILIARES;TMVG0409 - MANTENIMIENTO DEL MOTOR Y SUS SISTEMAS AUXILIARES;TMVG0409 - MANTENIMIENTO DEL MOTOR Y SUS SISTEMAS AUXILIARES
TMVI0108 - CONDUCCIÓN DE AUTOBUSES;TMVI0108 - CONDUCCIÓN DE AUTOBUSES;TMVI0108 - CONDUCCIÓN DE AUTOBUSES
TMVI0112 - CONDUCCIÓN PROFESIONAL DE VEHÍCULOS TURISMOS Y FURGONETAS;TMVI0112 - CONDUCCIÓN PROFESIONAL DE VEHÍCULOS TURISMOS Y FURGONETAS;TMVI0112 - CONDUCCIÓN PROFESIONAL DE VEHÍCULOS TURISMOS Y FURGONETAS
TMVI0208 - CONDUCCIÓN DE VEHÍCULOS PESADOS DE TRANSPORTE DE MERCANCÍAS POR CARRETERA;TMVI0208 - CONDUCCIÓN DE VEHÍCULOS PESADOS DE TRANSPORTE DE MERCANCÍAS POR CARRETERA;TMVI0208 - CONDUCCIÓN DE VEHÍCULOS PESADOS DE TRANSPORTE DE MERCANCÍAS POR CARRETERA
TMVL0209 - MANTENIMIENTO DE ELEMENTOS NO ESTRUCTURALES DE CARROCERÍAS DE VEHÍCULOS;TMVL0209 - MANTENIMIENTO DE ELEMENTOS NO ESTRUCTURALES DE CARROCERÍAS DE VEHÍCULOS;TMVL0209 - MANTENIMIENTO DE ELEMENTOS NO ESTRUCTURALES DE CARROCERÍAS DE VEHÍCULOS
TMVL0309 - MANTENIMIENTO DE ESTRUCTURAS DE CARROCERÍAS DE VEHÍCULOS;TMVL0309 - MANTENIMIENTO DE ESTRUCTURAS DE CARROCERÍAS DE VEHÍCULOS;TMVL0309 - MANTENIMIENTO DE ESTRUCTURAS DE CARROCERÍAS DE VEHÍCULOS
TMVL0409 - EMBELLECIMIENTO Y DECORACIÓN DE SUPERFICIES DE VEHÍCULOS;TMVL0409 - EMBELLECIMIENTO Y DECORACIÓN DE SUPERFICIES DE VEHÍCULOS;TMVL0409 - EMBELLECIMIENTO Y DECORACIÓN DE SUPERFICIES DE VEHÍCULOS
TMVL0509 - PINTURA DE VEHÍCULOS;TMVL0509 - PINTURA DE VEHÍCULOS;TMVL0509 - PINTURA DE VEHÍCULOS
TMVO0212 - ASISTENCIA A PASAJEROS, TRIPULACIONES, AERONAVES Y MERCANCIAS EN AEROPUERTOS;TMVO0212 - ASISTENCIA A PASAJEROS, TRIPULACIONES, AERONAVES Y MERCANCIAS EN AEROPUERTOS;TMVO0212 - ASISTENCIA A PASAJEROS, TRIPULACIONES, AERONAVES Y MERCANCIAS EN AEROPUERTOS
TMVU0111 - PINTURA, REPARAC Y CONSTRUCCIÓN DE ELEMENT DE PLÁSTICO REFORZ CON FIBRA DE EMBARC DEPORT Y RECRE;TMVU0111 - PINTURA, REPARAC Y CONSTRUCCIÓN DE ELEMENT DE PLÁSTICO REFORZ CON FIBRA DE EMBARC DEPORT Y RECRE;TMVU0111 - PINTURA, REPARAC Y CONSTRUCCIÓN DE ELEMENT DE PLÁSTICO REFORZ CON FIBRA DE EMBARC DEPORT Y RECRE
TMVU0112 - MANTENIMIENTO DE LA PLANTA PROPULSORA, MÁQUINAS Y EQUIPOS AUXILIARES DE EMBARCACIONES DEPORTIVAS;TMVU0112 - MANTENIMIENTO DE LA PLANTA PROPULSORA, MÁQUINAS Y EQUIPOS AUXILIARES DE EMBARCACIONES DEPORTIVAS;TMVU0112 - MANTENIMIENTO DE LA PLANTA PROPULSORA, MÁQUINAS Y EQUIPOS AUXILIARES DE EMBARCACIONES DEPORTIVAS
TMVU0211 - OPERACIONES DE MANTENIMIENTO DE ELEMENTOS DE MADERA DE EMBARCACIONES DEPORTIVAS Y DE RECREO;TMVU0211 - OPERACIONES DE MANTENIMIENTO DE ELEMENTOS DE MADERA DE EMBARCACIONES DEPORTIVAS Y DE RECREO;TMVU0211 - OPERACIONES DE MANTENIMIENTO DE ELEMENTOS DE MADERA DE EMBARCACIONES DEPORTIVAS Y DE RECREO
TMVU0212 - MANTENIMIENTO E INSTALACIÓN DE SIST ELÉCTRICOS Y ELECTRÓNICOS DE EMBARCACIONES DEPORTIVAS Y RECR;TMVU0212 - MANTENIMIENTO E INSTALACIÓN DE SIST ELÉCTRICOS Y ELECTRÓNICOS DE EMBARCACIONES DEPORTIVAS Y RECR;TMVU0212 - MANTENIMIENTO E INSTALACIÓN DE SIST ELÉCTRICOS Y ELECTRÓNICOS DE EMBARCACIONES DEPORTIVAS Y RECR
TMVU0311 - MANTENIMIENTO DE APAREJOS DE EMBARCACIONES DEPORTIVAS Y DE RECREO;TMVU0311 - MANTENIMIENTO DE APAREJOS DE EMBARCACIONES DEPORTIVAS Y DE RECREO;TMVU0311 - MANTENIMIENTO DE APAREJOS DE EMBARCACIONES DEPORTIVAS Y DE RECREO
VICF0110 - OPERACIONES DE FABRICACIÓN DE FRITAS, ESMALTES Y PIGMENTOS CERÁMICOS;VICF0110 - OPERACIONES DE FABRICACIÓN DE FRITAS, ESMALTES Y PIGMENTOS CERÁMICOS;VICF0110 - OPERACIONES DE FABRICACIÓN DE FRITAS, ESMALTES Y PIGMENTOS CERÁMICOS
VICF0210 - OPERACIONES DE FABRICACIÓN DE PRODUCTOS CERÁMICOS CONFORMADOS;VICF0210 - OPERACIONES DE FABRICACIÓN DE PRODUCTOS CERÁMICOS CONFORMADOS;VICF0210 - OPERACIONES DE FABRICACIÓN DE PRODUCTOS CERÁMICOS CONFORMADOS
VICF0411 - CONTROL DE MATERIALES, PROCESOS Y PRODUCTOS EN LABORATORIO CERÁMICO;VICF0411 - CONTROL DE MATERIALES, PROCESOS Y PRODUCTOS EN LABORATORIO CERÁMICO;VICF0411 - CONTROL DE MATERIALES, PROCESOS Y PRODUCTOS EN LABORATORIO CERÁMICO
VICI0112 - ENSAYOS DE CALIDAD EN INDUSTRIAS DEL VIDRIO;VICI0112 - ENSAYOS DE CALIDAD EN INDUSTRIAS DEL VIDRIO;VICI0112 - ENSAYOS DE CALIDAD EN INDUSTRIAS DEL VIDRIO
VICI0412 - OPERACIONES EN LÍNEA AUTOMÁTICA DE FABRICACIÓN Y TRANSFORMACIÓN DE VIDRIO;VICI0412 - OPERACIONES EN LÍNEA AUTOMÁTICA DE FABRICACIÓN Y TRANSFORMACIÓN DE VIDRIO;VICI0412 - OPERACIONES EN LÍNEA AUTOMÁTICA DE FABRICACIÓN Y TRANSFORMACIÓN DE VIDRIO
AFDA0110 - ACONDICIONAMIENTO FÍSICO EN GRUPO CON SOPORTE MUSICAL;AFDA0110 - ACONDICIONAMIENTO FÍSICO EN GRUPO CON SOPORTE MUSICAL;AFDA0110 - ACONDICIONAMIENTO FÍSICO EN GRUPO CON SOPORTE MUSICAL
AFDA0111 - FITNESS ACUÁTICO E HIDROCINESIA;AFDA0111 - FITNESS ACUÁTICO E HIDROCINESIA;AFDA0111 - FITNESS ACUÁTICO E HIDROCINESIA
AFDA0210 - ACONDICIONAMIENTO FÍSICO EN SALA DE ENTRENAMIENTO POLIVALENTE;AFDA0210 - ACONDICIONAMIENTO FÍSICO EN SALA DE ENTRENAMIENTO POLIVALENTE;AFDA0210 - ACONDICIONAMIENTO FÍSICO EN SALA DE ENTRENAMIENTO POLIVALENTE
AFDA0211 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA;AFDA0211 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA;AFDA0211 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA
AFDA0310 - ACTIVIDADES DE NATACIÓN;AFDA0310 - ACTIVIDADES DE NATACIÓN;AFDA0310 - ACTIVIDADES DE NATACIÓN
AFDA0311 - INSTRUCCIÓN EN YOGA;AFDA0311 - INSTRUCCIÓN EN YOGA;AFDA0311 - INSTRUCCIÓN EN YOGA
AFDA0411 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA PARA PERSONAS CON DISCAPACIDAD;AFDA0411 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA PARA PERSONAS CON DISCAPACIDAD;AFDA0411 - ANIMACIÓN FÍSICO-DEPORTIVA Y RECREATIVA PARA PERSONAS CON DISCAPACIDAD
AFDP0211 - COORDINACIÓN DE SERVICIOS DE SOCORRISMO EN INSTALACIONES Y ESPACIOS NATURALES ACUÁTICOS;AFDP0211 - COORDINACIÓN DE SERVICIOS DE SOCORRISMO EN INSTALACIONES Y ESPACIOS NATURALES ACUÁTICOS;AFDP0211 - COORDINACIÓN DE SERVICIOS DE SOCORRISMO EN INSTALACIONES Y ESPACIOS NATURALES ACUÁTICOS
ADGD0108 - GESTIÓN CONTABLE Y GESTIÓN ADMINISTRATIVA PARA AUDITORÍA;ADGD0108 - GESTIÓN CONTABLE Y GESTIÓN ADMINISTRATIVA PARA AUDITORÍA;ADGD0108 - GESTIÓN CONTABLE Y GESTIÓN ADMINISTRATIVA PARA AUDITORÍA
ADGD0110 - ASISTENCIA EN LA GESTIÓN DE LOS PROCEDIMIENTOS TRIBUTARIOS;ADGD0110 - ASISTENCIA EN LA GESTIÓN DE LOS PROCEDIMIENTOS TRIBUTARIOS;ADGD0110 - ASISTENCIA EN LA GESTIÓN DE LOS PROCEDIMIENTOS TRIBUTARIOS
ADGD0208 - GESTIÓN INTEGRADA DE RECURSOS HUMANOS;ADGD0208 - GESTIÓN INTEGRADA DE RECURSOS HUMANOS;ADGD0208 - GESTIÓN INTEGRADA DE RECURSOS HUMANOS
ADGD0210 - CREACIÓN Y GESTIÓN DE MICROEMPRESAS;ADGD0210 - CREACIÓN Y GESTIÓN DE MICROEMPRESAS;ADGD0210 - CREACIÓN Y GESTIÓN DE MICROEMPRESAS
ADGG0108 - ASISTENCIA A LA DIRECCIÓN;ADGG0108 - ASISTENCIA A LA DIRECCIÓN;ADGG0108 - ASISTENCIA A LA DIRECCIÓN
ADGG0308 - ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ADGG0308 - ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ADGG0308 - ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS
ADGN0108 - FINANCIACIÓN DE EMPRESAS;ADGN0108 - FINANCIACIÓN DE EMPRESAS;ADGN0108 - FINANCIACIÓN DE EMPRESAS
ADGN0110 - GESTIÓN COMERCIAL Y TÉCNICA DE SEGUROS Y REASEGUROS PRIVADOS;ADGN0110 - GESTIÓN COMERCIAL Y TÉCNICA DE SEGUROS Y REASEGUROS PRIVADOS;ADGN0110 - GESTIÓN COMERCIAL Y TÉCNICA DE SEGUROS Y REASEGUROS PRIVADOS
ADGN0208 - COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;ADGN0208 - COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;ADGN0208 - COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS
ADGN0210 - MEDIACIÓN DE SEGUROS Y REASEGUROS PRIVADOS Y ACTIVIDADES AUXILIARES;ADGN0210 - MEDIACIÓN DE SEGUROS Y REASEGUROS PRIVADOS Y ACTIVIDADES AUXILIARES;ADGN0210 - MEDIACIÓN DE SEGUROS Y REASEGUROS PRIVADOS Y ACTIVIDADES AUXILIARES
AGAJ0109 - GESTIÓN Y MANTENIMIENTO DE ÁRBOLES Y PALMERAS ORNAMENTALES;AGAJ0109 - GESTIÓN Y MANTENIMIENTO DE ÁRBOLES Y PALMERAS ORNAMENTALES;AGAJ0109 - GESTIÓN Y MANTENIMIENTO DE ÁRBOLES Y PALMERAS ORNAMENTALES
AGAJ0208 - ARTE FLORAL Y GESTIÓN DE LAS ACTIVIDADES DE FLORISTERÍA;AGAJ0208 - ARTE FLORAL Y GESTIÓN DE LAS ACTIVIDADES DE FLORISTERÍA;AGAJ0208 - ARTE FLORAL Y GESTIÓN DE LAS ACTIVIDADES DE FLORISTERÍA
